ID,Word,Description,Has Video
D0001B,địa chỉ,"Những thông tin cụ thể về chỗ ở, nơi làm việc của một người, một cơ quan, v.v.",false
D0002,tỉnh,"Đơn vị hành chính, gồm nhiều huyện và thị xã, thị trấn.",false
D0003,tiếp tân,Đón tiếp khách.,true
D0004,nhân viên,"Người làm việc trong một cơ quan, tổ chức, trong quan hệ với thủ trưởng, lãnh đạo của cơ quan, tổ chức đó.",true
D0009,phương Tây,,false
D0010,phương Đông,,false
D0013,người nước ngoài,,true
D0014,nhập khẩu,Đưa hàng hoá hay tư bản của nước ngoài vào nước mình.,true
D0017,hấp dẫn,"Có sức lôi cuốn, làm cho người ta ham thích.",false
D0018,nổi da gà,,true
D0019B,ghen tị,"So bì và khó chịu, bực bội khi thấy người khác được hơn mình.",false
D0020B,lung tung,Hoàn toàn không có một trật tự nào cả.,false
D0021,hói đầu,"Tình trạng bị rụng nhiều hoặc gần hết tóc, làm vùng trên trán và đỉnh đầu trơn nhẵn.",true
D0022,cười nhếch mép,,false
D0023,cười vỡ bụng,"Cười to và thành tràng dài mãi không thôi, đến mức như không thể nín nhịn được.",true
D0024B,tham ăn,,false
D0026,thèm,"Tha thiết mong muốn được hưởng, được có, hay được làm một cái gì đó.",false
D0028,đứng đầu,,true
D0029B,thói quen,"Lối sống, cách sống hay hoạt động do lặp đi lặp lại lâu ngày thành quen, khó thay đổi.",false
D0030,khuyến khích,"Tác động đến tinh thần để gây phấn khởi, tin tưởng mà cố gắng hơn.",false
D0031B,không nghe lời,,false
D0032,ai cho,,false
D0033B,không cho,,false
D0034,không cần,,false
D0035B,không nên,,false
D0036,bực mình,"Bực trong lòng, khó chịu trong lòng.",false
D0037,tự giác,"Tự mình hiểu mà làm, không cần nhắc nhở, đốc thúc.",false
D0038,mù chữ,"Không biết đọc, biết viết (tuy ở tuổi đáng lẽ đã được học).",false
D0039,vô tình,"Không có tình nghĩa, không có tình cảm.",false
D0041,giỗ,"Lễ tưởng nhớ người đã chết đúng vào ngày chết, hằng năm, thường có cúng lễ theo phong tục.",true
D0059,cá sấu,,true
D0060B,nhầm,"Nhận thức cái nọ ra cái kia, do sơ ý hay không biết.",false
D0064,buồn thảm,Buồn đến mức thảm đạm.,true
D0065B,mách,"Nói cho người khác biết điều đối với người đó là cần thiết, có lợi.",false
D0066B,vô duyên,"Không có duyên, thiếu những gì tế nhị đáng yêu, làm cho không có gì hấp dẫn.",false
D0067,ti hí mắt,,false
D0068,kịp thời,"Đúng lúc, không để chậm trễ.",false
D0069,bối rối,"Lúng túng, mất bình tĩnh, không biết nên xử trí thế nào.",true
D0070,hú vía,Sợ hoảng hồn trước một nguy hiểm bất ngờ (nhưng nay đã thoát khỏi).,false
D0071,suỵt,Tiếng gió thốt ra khe khẽ để nhắc người khác giữ im lặng.,true
D0072B,suýt,Chỉ còn thiếu chút nữa là đã xảy ra (thường là điều không hay).,false
D0073,cá voi,,true
D0074,cá kiếm,"Cá biển cỡ lớn, có hàm trên kéo rất dài ra phía trước thành mũi nhọn như lưỡi kiếm.",true
D0075,đuôi cá,,true
D0076,đuôi chuột,,true
D0077B,bít tết (bò),"Món ăn kiểu Âu, làm bằng thịt bò rán cả miếng.",false
D0078,súp,,true
D0079,súp lơ,"Cải có hoa non mọc tập trung thành một khối nạc, dùng làm rau ăn.",true
D0080B,mỳ tôm,,false
D0082B,mỳ ý,,false
D0083,bún mắm,,true
D0084,bún chả,"Món ăn gồm bún với thịt nướng, ăn kèm với rau sống và nước chấm.",true
D0085,bún ngan,,true
D0086,bún ốc,,true
D0087B,bún đậu,,false
D0088,xôi gấc,"Xôi nấu trộn với ruột gấc, có màu đỏ, vị hơi ngọt.",true
D0089,xôi gà,,true
D0090,cháo sườn,,true
D0091,cơm rang,"Cơm để nguội rồi rang lên với dầu hoặc mỡ, có thể cho thêm một số thứ khác như giò, lạp xường, dưa muối.",true
D0092,nhấn mạnh,,false
D0093,đạo diễn,Người làm việc đạo diễn.,true
D0094,thí nghiệm,"Gây ra một hiện tượng, một sự biến đổi nào đó trong điều kiện xác định để tìm hiểu, nghiên cứu, kiểm tra hay chứng minh.",true
D0095,cắm trại,,true
D0096,khả năng,"Cái có thể xuất hiện, có thể xảy ra trong điều kiện nhất định.",false
D0097,kỹ năng,Khả năng vận dụng những kiến thức đã thu nhận được trong một lĩnh vực nào đó áp dụng vào thực tế.,false
D0099,cung cấp,Làm cho có thứ cần để sử dụng.,false
D0100,khờ dại,"Kém trí khôn, kém tinh nhanh.",false
D0101,cực khổ,Cực và khổ (nói khái quát).,false
D0102,may mắn,May (nói khái quát).,false
D0103B,từ chối,Không chịu nhận cái được dành cho hoặc được yêu cầu.,false
D0104,nấu nướng,Nấu thức ăn (nói khái quát).,true
D0105,xoa đầu ,,true
D0107,rực rỡ,"Có màu sắc tươi sáng đẹp đẽ và nổi bật hẳn lên, làm cho ai cũng phải chú ý.",false
D0108B,thiệp sinh nhật,,false
D0109B,không quen,,false
D0110,bánh tráng,"Bánh làm bằng bột gạo tẻ hay sắn, khoai, v.v. xay ướt, tráng thành tấm mỏng hình tròn hoặc vuông, dùng để gói nem hay cuốn ăn gỏi sống.",true
D0111B,tương ớt,"Là thứ nước chấm cay có dạng đặc sệt như nước sốt và có màu cam, được làm từ nguyên liệu chính là ớt xay nhuyễn kết hợp với một số gia vị khác.",false
D0112,không có,,false
D0113,không có chi,,false
D0114,dân chủ,Chế độ dân chủ hoặc quyền dân chủ (nói tắt).,false
D0115,xử lý,Xem xét và giải quyết về mặt tổ chức một vụ phạm lỗi nào đó.,false
D0116,đất ruộng,,true
D0117,tinh mắt,,false
D0118,cũng vậy/cũng thế,,false
D0124,kia,"Từ dùng để chỉ một sự vật, địa điểm, hiện tượng ở xa vị trí của người nói, nhưng trong phạm vi có thể nhìn thấy cụ thể.",false
D0125,nóng tính,Có tính dễ nổi nóng.,false
D0127,căm thù,Căm giận đến mức thôi thúc phải trả thù.,false
D0129B,không đẹp,,false
D0134,chúng tôi,Tổ hợp dùng để nhân danh một số người mà tự xưng.,false
D0135,các bạn,,true
D0137,họ,,false
D0138,bạn yêu tôi,,false
D0139,tôi yêu bạn ấy,,false
D0143B,anh hai,,false
D0144B,chị hai,,false
D0146,một là,,false
D0147,hai là,,false
D0148,ba là,,false
D0149,bốn là,,false
D0150,năm là,,false
D0151B,ông bà,Là người sinh ra bố mẹ của một người.,false
D0152B,chị họ,,false
D0153B,em họ,,false
D0154B,cháu họ,,false
D0155B,sống sót,"Còn sống sau một biến cố, một tai nạn lớn, trong khi những người cùng hoàn cảnh hầu như đã chết.",false
D0156,thường xuyên,"Đều đặn và liên tục, không gián đoạn.",false
D0157B,đi dạo,,false
D0158B,về,"Di chuyển trở lại chỗ của mình, nơi ở, nơi quê hương của mình.",false
D0160,đi về,"Di chuyển đến nơi mình có quan hệ gắn bó coi như nhà mình, quê hương mình, hoặc nơi mình được mọi người đối xử thân mật, coi như người nhà, người cùng quê.",false
D0162,về nhà,Di chuyển trở lại nơi mình ở.,false
D0163B,hẹn,Nói với ai rằng sẽ làm việc gì trong một thời gian cụ thể sắp tới.,false
D0164,quyến luyến,"Biểu thị tình cảm gắn bó, không muốn rời xa.",false
D0165B,hứa,Nhận lời với ai đó một cách chắc chắn là sẽ làm việc gì đó.,false
D0166,cùng / với,,false
D0167,lâu,"Có thời gian kéo dài, chỉ một khoảng thời gian được coi là dài mới kết thúc.",false
D0168B,vẫn,"Từ biểu thị ý khẳng định về điều xảy ra, diễn ra như bình thường, cho dù điều kiện là không bình thường.",false
D0169B,mỗi ngày,,false
D0170B,hàng ngày,,false
D0173,hôi,"Có mùi khó ngửi như mùi bọ xít, chuột chù.",false
D0174,trông nhà,,false
D0175,chạy,"Động vật di chuyển thân thể bằng những bước nhanh, mạnh và liên tiếp.",true
D0176,xe container,,true
D0177,bay nhanh,,true
